K,arc_length_strict,arc_length_relaxed,last_prime,first_failure,purity,four_K_minus_1,four_K_minus_1_prime,is_golden,note
346,0,0,N/A,N/A,0.0%,1383,False,False,
347,5,100,367,377,83.3%,1387,False,False,
348,0,0,N/A,N/A,0.0%,1391,False,False,
349,1,4,349,351,50.0%,1395,False,False,
350,0,0,N/A,N/A,0.0%,1399,True,False,
351,0,1,N/A,N/A,0.0%,1403,False,False,
352,0,0,N/A,N/A,0.0%,1407,False,False,
353,1,72,353,355,50.0%,1411,False,False,
354,0,0,N/A,N/A,0.0%,1415,False,False,
355,0,3,N/A,N/A,0.0%,1419,False,False,
356,0,0,N/A,N/A,0.0%,1423,True,False,
357,0,1,N/A,N/A,0.0%,1427,True,False,
358,0,0,N/A,N/A,0.0%,1431,False,False,
359,1,33,359,361,50.0%,1435,False,False,
360,0,0,N/A,N/A,0.0%,1439,True,False,
361,0,3,N/A,N/A,0.0%,1443,False,False,
362,0,0,N/A,N/A,0.0%,1447,True,False,
363,0,2,N/A,N/A,0.0%,1451,True,False,
364,0,0,N/A,N/A,0.0%,1455,False,False,
365,0,1,N/A,N/A,0.0%,1459,True,False,
366,0,0,N/A,N/A,0.0%,1463,False,False,
367,1,46,367,369,50.0%,1467,False,False,
368,0,0,N/A,N/A,0.0%,1471,True,False,
369,0,1,N/A,N/A,0.0%,1475,False,False,
370,0,0,N/A,N/A,0.0%,1479,False,False,
371,0,20,N/A,N/A,0.0%,1483,True,False,
372,0,0,N/A,N/A,0.0%,1487,True,False,
373,1,2,373,375,50.0%,1491,False,False,
374,0,0,N/A,N/A,0.0%,1495,False,False,
375,0,0,N/A,N/A,0.0%,1499,True,False,
376,0,0,N/A,N/A,0.0%,1503,False,False,
377,0,20,N/A,N/A,0.0%,1507,False,False,
378,0,0,N/A,N/A,0.0%,1511,True,False,
379,1,3,379,381,50.0%,1515,False,False,
380,0,0,N/A,N/A,0.0%,1519,False,False,
381,0,2,N/A,N/A,0.0%,1523,True,False,
382,0,0,N/A,N/A,0.0%,1527,False,False,
383,1,3,383,385,50.0%,1531,True,False,
384,0,0,N/A,N/A,0.0%,1535,False,False,
385,0,7,N/A,N/A,0.0%,1539,False,False,
386,0,0,N/A,N/A,0.0%,1543,True,False,
387,0,1,N/A,N/A,0.0%,1547,False,False,
388,0,0,N/A,N/A,0.0%,1551,False,False,
389,1,87,389,391,50.0%,1555,False,False,
390,0,0,N/A,N/A,0.0%,1559,True,False,
391,0,21,N/A,N/A,0.0%,1563,False,False,
392,0,0,N/A,N/A,0.0%,1567,True,False,
393,0,0,N/A,N/A,0.0%,1571,True,False,
394,0,0,N/A,N/A,0.0%,1575,False,False,
395,0,2,N/A,N/A,0.0%,1579,True,False,
396,0,0,N/A,N/A,0.0%,1583,True,False,
397,1,19,397,399,50.0%,1587,False,False,
398,0,0,N/A,N/A,0.0%,1591,False,False,
399,0,2,N/A,N/A,0.0%,1595,False,False,
400,0,0,N/A,N/A,0.0%,1599,False,False,
401,1,19,401,403,50.0%,1603,False,False,
402,0,0,N/A,N/A,0.0%,1607,True,False,
403,0,2,N/A,N/A,0.0%,1611,False,False,
404,0,0,N/A,N/A,0.0%,1615,False,False,
405,0,0,N/A,N/A,0.0%,1619,True,False,
406,0,0,N/A,N/A,0.0%,1623,False,False,
407,0,10,N/A,N/A,0.0%,1627,True,False,
408,0,0,N/A,N/A,0.0%,1631,False,False,
409,1,15,409,411,50.0%,1635,False,False,
410,0,0,N/A,N/A,0.0%,1639,False,False,
411,0,5,N/A,N/A,0.0%,1643,False,False,
